Record Date,Country,Currency,Country - Currency Description,Exchange Rate,,Effective Date,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number,ISO_4217
2023-12-31,Sao Tome & Principe,New Dobras,Sao Tome & Principe-New Dobras,22.142,0.045163039,2023-12-31,129,2024,1,2023,4,12,31,STN
2023-12-31,Saudi Arabia,Riyal,Saudi Arabia-Riyal,3.75,0.266666667,2023-12-31,130,2024,1,2023,4,12,31,SAR
2023-12-31,Senegal,CFA Franc,Senegal-CFA Franc,589,0.001697793,2023-12-31,131,2024,1,2023,4,12,31,XOF
2023-12-31,Serbia,Dinar,Serbia-Dinar,105.92,0.009441088,2023-12-31,132,2024,1,2023,4,12,31,RSD
2023-12-31,Seychelles,Rupee,Seychelles-Rupee,13.473,0.074222519,2023-12-31,133,2024,1,2023,4,12,31,SCR
2023-12-31,Sierra Leone,Leone,Sierra Leone-Leone,22.7,0.044052863,2023-12-31,134,2024,1,2023,4,12,31,SLE
2023-12-31,Singapore,Dollar,Singapore-Dollar,1.32,0.757575758,2023-12-31,136,2024,1,2023,4,12,31,SGD
2023-12-31,Solomon Islands,Dollar,Solomon Islands-Dollar,8.065,0.12399256,2023-12-31,137,2024,1,2023,4,12,31,SBD
2023-12-31,Somali,Shilling,Somali-Shilling,568,0.001760563,2023-12-31,138,2024,1,2023,4,12,31,SOS
2023-12-31,South Africa,Rand,South Africa-Rand,18.427,0.054268193,2023-12-31,139,2024,1,2023,4,12,31,ZAR
2023-12-31,South Sudan,Sudanese Pound,South Sudan-Sudanese Pound,1070,0.000934579,2023-12-31,140,2024,1,2023,4,12,31,SSP
2023-12-31,Sri Lanka,Rupee,Sri Lanka-Rupee,323.8,0.003088326,2023-12-31,142,2024,1,2023,4,12,31,LKR
2023-12-31,St. Lucia,E. Caribbean Dollar,St. Lucia-E. Caribbean Dollar,2.7,0.37037037,2023-12-31,143,2024,1,2023,4,12,31,XCD
2023-12-31,Sudan,Pound,Sudan-Pound,830,0.001204819,2023-12-31,144,2024,1,2023,4,12,31,SDG
2023-12-31,Suriname,Dollar,Suriname-Dollar,36.723,0.027230891,2023-12-31,146,2024,1,2023,4,12,31,SRD
2023-12-31,Sweden,Krona,Sweden-Krona,10.031,0.099690958,2023-12-31,147,2024,1,2023,4,12,31,SEK
2023-12-31,Switzerland,Franc,Switzerland-Franc,0.838,1.193317422,2023-12-31,148,2024,1,2023,4,12,31,CHF
2023-12-31,Syria,Pound,Syria-Pound,8585,0.000116482,2023-12-31,149,2024,1,2023,4,12,31,SYP
2023-12-31,Taiwan,Dollar,Taiwan-Dollar,30.641,0.032636011,2023-12-31,150,2024,1,2023,4,12,31,TWD
2023-12-31,Tajikistan,Somoni,Tajikistan-Somoni,10.93,0.091491308,2023-12-31,151,2024,1,2023,4,12,31,TJS
2023-12-31,Tanzania,Shilling,Tanzania-Shilling,2505,0.000399202,2023-12-31,152,2024,1,2023,4,12,31,TZS
2023-12-31,Thailand,Baht,Thailand-Baht,34.33,0.029129042,2023-12-31,153,2024,1,2023,4,12,31,THB
2023-12-31,Togo,CFA Franc,Togo-CFA Franc,589,0.001697793,2023-12-31,155,2024,1,2023,4,12,31,XOF
2023-12-31,Tonga,Pa'anga,Tonga-Pa'anga,2.26,0.442477876,2023-12-31,156,2024,1,2023,4,12,31,TOP
2023-12-31,Trinidad & Tobago,Dollar,Trinidad & Tobago-Dollar,6.749,0.148170099,2023-12-31,157,2024,1,2023,4,12,31,TTD
2023-12-31,Tunisia,Dinar,Tunisia-Dinar,3.064,0.326370757,2023-12-31,158,2024,1,2023,4,12,31,TND
2023-12-31,Turkey,New Lira,Turkey-New Lira,29.547,0.033844384,2023-12-31,159,2024,1,2023,4,12,31,TRY
2023-12-31,Turkmenistan,New Manat,Turkmenistan-New Manat,3.491,0.286450874,2023-12-31,160,2024,1,2023,4,12,31,TMT
2023-12-31,Uganda,Shilling,Uganda-Shilling,3775,0.000264901,2023-12-31,161,2024,1,2023,4,12,31,UGX
2023-12-31,Ukraine,Hryvnia,Ukraine-Hryvnia,38.089,0.026254299,2023-12-31,162,2024,1,2023,4,12,31,UAH
2023-12-31,United Arab Emirates,Dirham,United Arab Emirates-Dirham,3.673,0.272257011,2023-12-31,163,2024,1,2023,4,12,31,AED
2023-12-31,United Kingdom,Pound,United Kingdom-Pound,0.786,1.272264631,2023-12-31,164,2024,1,2023,4,12,31,GBP
2023-12-31,Uruguay,Peso,Uruguay-Peso,39.02,0.025627883,2023-12-31,165,2024,1,2023,4,12,31,UYI
2023-12-31,Uzbekistan,Som,Uzbekistan-Som,12333.77,8.10782E-05,2023-12-31,166,2024,1,2023,4,12,31,UZS
2023-12-31,Vanuatu,Vatu,Vanuatu-Vatu,116,0.00862069,2023-12-31,167,2024,1,2023,4,12,31,VUV
2023-12-31,Venezuela,Bolivar Soberano,Venezuela-Bolivar Soberano,35.841,0.027901007,2023-12-31,168,2024,1,2023,4,12,31,VEF
2023-12-31,Vietnam,Dong,Vietnam-Dong,24260,4.12201E-05,2023-12-31,170,2024,1,2023,4,12,31,VND
2023-12-31,Western Samoa,Tala,Western Samoa-Tala,2.653,0.376931775,2023-12-31,171,2024,1,2023,4,12,31,WST
2023-12-31,Yemen,Rial,Yemen-Rial,528,0.001893939,2023-12-31,172,2024,1,2023,4,12,31,YER
2023-12-31,Zambia,New Kwacha,Zambia-New Kwacha,25.71,0.038895371,2023-12-31,173,2024,1,2023,4,12,31,ZMW
2023-12-31,Zimbabwe,RTGS,Zimbabwe-RTGS,5801.47,0.00017237,2023-12-31,174,2024,1,2023,4,12,31,ZWL
,,,,,,,,,,,,,,
